string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules,module_layout,dist_btw_v0_v1,dist_btw_v1_v2,num_module_along_x,num_module_along_y
0,1-4-NB05-10,4371.81200150638,2242.23102567846,0,0,0,0,4354.62695405245,2242.68902125494,4354.62695405245,2241.77303010199,4388.99704896032,2241.77303010199,4388.99704896032,2242.68902125494,14,L,0.916,34.37,1,14
0,1-4-NB05-10,4371.81200150638,2243.22791939649,1,0,0,0,4354.62695405245,2243.68591497297,4354.62695405245,2242.76992382002,4388.99704896032,2242.76992382001,4388.99704896032,2243.68591497296,14,L,0.916,34.37,1,14
1,1-4-NB05-9,4371.81200150638,2244.22481311452,0,0,0,0,4354.62695405245,2244.68280869099,4354.62695405245,2243.76681753804,4388.99704896032,2243.76681753804,4388.99704896032,2244.68280869099,14,L,0.916,34.37,1,14
1,1-4-NB05-9,4371.81200150638,2245.22170683254,1,0,0,0,4354.62695405245,2245.67970240902,4354.62695405245,2244.76371125607,4388.99704896032,2244.76371125607,4388.99704896032,2245.67970240902,14,L,0.916,34.37,1,14
2,1-4-NB05-12,4406.79557034858,2242.09194509516,0,0,0,0,4389.61052289465,2242.54994067164,4389.61052289465,2241.63394951869,4423.98061780252,2241.63394951869,4423.98061780252,2242.54994067164,14,L,0.916,34.37,1,14
2,1-4-NB05-12,4406.79557034858,2243.08883881319,1,0,0,0,4389.61052289465,2243.54683438966,4389.61052289465,2242.63084323671,4423.98061780252,2242.63084323671,4423.98061780252,2243.54683438966,14,L,0.916,34.37,1,14
3,1-4-NB05-11,4406.79557034858,2244.08573253122,0,0,0,0,4389.61052289465,2244.54372810769,4389.61052289465,2243.62773695474,4423.98061780252,2243.62773695474,4423.98061780251,2244.54372810769,14,L,0.916,34.37,1,14
3,1-4-NB05-11,4406.79557034858,2245.08262624924,1,0,0,0,4389.61052289465,2245.54062182572,4389.61052289465,2244.62463067277,4423.98061780252,2244.62463067277,4423.98061780252,2245.54062182572,14,L,0.916,34.37,1,14
4,1-4-NB05-2,4371.81200150638,2260.33311000674,0,0,0,0,4354.62695405245,2260.79110558322,4354.62695405245,2259.87511443027,4388.99704896032,2259.87511443027,4388.99704896032,2260.79110558322,14,L,0.916,34.37,1,14
4,1-4-NB05-2,4371.81200150639,2261.33000372477,1,0,0,0,4354.62695405245,2261.78799930124,4354.62695405245,2260.87200814829,4388.99704896032,2260.87200814829,4388.99704896032,2261.78799930124,14,L,0.916,34.37,1,14
5,1-4-NB05-1,4371.81200150638,2262.3268974428,0,0,0,0,4354.62695405245,2262.78489301927,4354.62695405245,2261.86890186632,4388.99704896032,2261.86890186632,4388.99704896032,2262.78489301927,14,L,0.916,34.37,1,14
5,1-4-NB05-1,4371.81200150638,2263.32379116082,1,0,0,0,4354.62695405245,2263.7817867373,4354.62695405245,2262.86579558435,4388.99704896032,2262.86579558435,4388.99704896032,2263.7817867373,14,L,0.916,34.37,1,14
6,1-4-NB05-4,4406.79557034858,2260.19402942344,0,0,0,0,4389.61052289465,2260.65202499992,4389.61052289465,2259.73603384697,4423.98061780252,2259.73603384697,4423.98061780252,2260.65202499992,14,L,0.916,34.37,1,14
6,1-4-NB05-4,4406.79557034858,2261.19092314147,1,0,0,0,4389.61052289465,2261.64891871794,4389.61052289465,2260.73292756499,4423.98061780252,2260.73292756499,4423.98061780252,2261.64891871794,14,L,0.916,34.37,1,14
7,1-4-NB05-3,4406.79557034858,2262.18781685949,0,0,0,0,4389.61052289465,2262.64581243597,4389.61052289465,2261.72982128302,4423.98061780252,2261.72982128302,4423.98061780252,2262.64581243597,14,L,0.916,34.37,1,14
7,1-4-NB05-3,4406.79557034858,2263.18471057752,1,0,0,0,4389.61052289465,2263.642706154,4389.61052289465,2262.72671500105,4423.98061780252,2262.72671500105,4423.98061780252,2263.642706154,14,L,0.916,34.37,1,14
8,1-4-NB05-6,4441.77189974472,2260.12367867593,0,0,0,0,4424.58685229078,2260.5816742524,4424.58685229078,2259.66568309945,4458.95694719865,2259.66568309945,4458.95694719865,2260.5816742524,14,L,0.916,34.37,1,14
8,1-4-NB05-6,4441.77189974472,2261.12057239395,1,0,0,0,4424.58685229078,2261.57856797043,4424.58685229078,2260.66257681748,4458.95694719865,2260.66257681748,4458.95694719865,2261.57856797043,14,L,0.916,34.37,1,14
9,1-4-NB05-5,4441.77189974472,2262.11746611198,0,0,0,0,4424.58685229078,2262.57546168846,4424.58685229078,2261.65947053551,4458.95694719865,2261.65947053551,4458.95694719865,2262.57546168846,14,L,0.916,34.37,1,14
9,1-4-NB05-5,4441.77189974472,2263.11435983001,1,0,0,0,4424.58685229078,2263.57235540648,4424.58685229078,2262.65636425353,4458.95694719865,2262.65636425353,4458.95694719865,2263.57235540648,14,L,0.916,34.37,1,14
10,1-4-NB05-8,4476.66265193336,2259.9193166671,0,0,0,0,4459.47760447943,2260.37731224358,4459.47760447943,2259.46132109063,4493.8476993873,2259.46132109063,4493.8476993873,2260.37731224358,14,L,0.916,34.37,1,14
10,1-4-NB05-8,4476.66265193336,2260.91621038513,1,0,0,0,4459.47760447943,2261.37420596161,4459.47760447943,2260.45821480865,4493.8476993873,2260.45821480865,4493.8476993873,2261.3742059616,14,L,0.916,34.37,1,14
11,1-4-NB05-7,4476.66265193336,2261.91310410316,0,0,0,0,4459.47760447943,2262.37109967963,4459.47760447943,2261.45510852668,4493.8476993873,2261.45510852668,4493.8476993873,2262.37109967963,14,L,0.916,34.37,1,14
11,1-4-NB05-7,4476.66265193336,2262.90999782118,1,0,0,0,4459.47760447943,2263.36799339766,4459.47760447943,2262.45200224471,4493.8476993873,2262.45200224471,4493.8476993873,2263.36799339766,14,L,0.916,34.37,1,14
12,1-4-NB04-9,4372.05371681057,2278.31442051954,0,0,0,0,4354.86866935663,2278.77241609602,4354.86866935663,2277.85642494307,4389.2387642645,2277.85642494307,4389.2387642645,2278.77241609602,14,L,0.916,34.37,1,14
12,1-4-NB04-9,4372.05371681057,2279.31131423757,1,0,0,0,4354.86866935663,2279.76930981404,4354.86866935663,2278.85331866109,4389.2387642645,2278.85331866109,4389.2387642645,2279.76930981404,14,L,0.916,34.37,1,14
13,1-4-NB04-8,4372.05371681057,2280.30820795559,0,0,0,0,4354.86866935663,2280.76620353207,4354.86866935663,2279.85021237912,4389.2387642645,2279.85021237912,4389.2387642645,2280.76620353207,14,L,0.916,34.37,1,14
13,1-4-NB04-8,4372.05371681057,2281.30510167362,1,0,0,0,4354.86866935663,2281.7630972501,4354.86866935663,2280.84710609715,4389.2387642645,2280.84710609715,4389.2387642645,2281.7630972501,14,L,0.916,34.37,1,14
14,1-4-NB04-11,4406.9930586438,2278.23032380487,0,0,0,0,4389.80801118987,2278.68831938135,4389.80801118987,2277.7723282284,4424.17810609774,2277.7723282284,4424.17810609774,2278.68831938134,14,L,0.916,34.37,1,14
14,1-4-NB04-11,4406.9930586438,2279.2272175229,1,0,0,0,4389.80801118987,2279.68521309937,4389.80801118987,2278.76922194642,4424.17810609774,2278.76922194642,4424.17810609773,2279.68521309937,14,L,0.916,34.37,1,14
15,1-4-NB04-10,4406.9930586438,2280.22411124092,0,0,0,0,4389.80801118987,2280.6821068174,4389.80801118987,2279.76611566445,4424.17810609774,2279.76611566445,4424.17810609774,2280.6821068174,14,L,0.916,34.37,1,14
15,1-4-NB04-10,4406.9930586438,2281.22100495895,1,0,0,0,4389.80801118987,2281.67900053542,4389.80801118987,2280.76300938248,4424.17810609773,2280.76300938248,4424.17810609774,2281.67900053542,14,L,0.916,34.37,1,14
16,1-4-NB04-13,4441.8417967546,2278.1907703803,0,0,0,0,4424.65674930067,2278.64876595677,4424.65674930067,2277.73277480382,4459.02684420854,2277.73277480382,4459.02684420854,2278.64876595677,14,L,0.916,34.37,1,14
16,1-4-NB04-13,4441.8417967546,2279.18766409833,1,0,0,0,4424.65674930067,2279.6456596748,4424.65674930067,2278.72966852185,4459.02684420854,2278.72966852185,4459.02684420854,2279.6456596748,14,L,0.916,34.37,1,14
