string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules,module_layout,dist_btw_v0_v1,dist_btw_v1_v2,num_module_along_x,num_module_along_y
0,1-6-NB04-11,4065.87770771222,2401.64217310855,0,0,0,0,4078.39139768381,2402.00733909617,4053.36401774064,2402.00733909617,4053.36401774064,2401.27700712094,4078.39139768381,2401.27700712094,12,L,25.027,0.73,12,1
0,1-6-NB04-11,4065.87770771222,2400.86370641134,1,0,0,0,4078.39139768381,2401.22887239895,4053.36401774064,2401.22887239895,4053.36401774064,2400.49854042372,4078.39139768381,2400.49854042372,12,L,25.027,0.73,12,1
1,1-6-NB04-12,4065.87770771222,2400.08523971412,0,0,0,0,4078.39139768381,2400.45040570174,4053.36401774064,2400.45040570174,4053.36401774064,2399.72007372651,4078.39139768381,2399.7200737265,12,L,25.027,0.73,12,1
1,1-6-NB04-12,4065.87770771222,2399.30677301691,1,0,0,0,4078.3913976838,2399.67193900452,4053.36401774064,2399.67193900452,4053.36401774064,2398.94160702929,4078.39139768381,2398.94160702929,12,L,25.027,0.73,12,1
2,1-6-NB04-13,4091.29884871713,2401.53864134437,0,0,0,0,4103.81253868872,2401.90380733199,4078.78515874555,2401.90380733199,4078.78515874555,2401.17347535675,4103.81253868872,2401.17347535675,12,L,25.027,0.73,12,1
2,1-6-NB04-13,4091.29884871713,2400.76017464715,1,0,0,0,4103.81253868872,2401.12534063477,4078.78515874555,2401.12534063477,4078.78515874555,2400.39500865954,4103.81253868872,2400.39500865954,12,L,25.027,0.73,12,1
3,1-6-NB04-14,4091.29884871713,2399.98170794994,0,0,0,0,4103.81253868872,2400.34687393756,4078.78515874555,2400.34687393756,4078.78515874555,2399.61654196232,4103.81253868872,2399.61654196232,12,L,25.027,0.73,12,1
3,1-6-NB04-14,4091.29884871713,2399.20324125272,1,0,0,0,4103.81253868872,2399.56840724034,4078.78515874555,2399.56840724034,4078.78515874555,2398.83807526511,4103.81253868872,2398.83807526511,12,L,25.027,0.73,12,1
4,1-6-NB04-15,4116.66450837771,2401.45815195286,0,0,0,0,4129.1781983493,2401.82331794048,4104.15081840613,2401.82331794048,4104.15081840613,2401.09298596525,4129.1781983493,2401.09298596525,12,L,25.027,0.73,12,1
4,1-6-NB04-15,4116.66450837771,2400.67968525565,1,0,0,0,4129.1781983493,2401.04485124326,4104.15081840613,2401.04485124326,4104.15081840613,2400.31451926803,4129.1781983493,2400.31451926803,12,L,25.027,0.73,12,1
