string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules
0,I-20-NB02-7,340.318393815814,401.59816093196,0,0,0,0,327.174166694523,401.168570124869,353.462620937105,401.265784824777,353.462620937105,402.027751739052,327.174166694523,401.930537039144,12
0,I-20-NB02-7,340.318393815814,400.777702894188,1,0,0,0,327.174166694522,400.348112087096,353.462620937105,400.445326787004,353.462620937105,401.207293701279,327.174166694522,401.110079001371,12
1,I-20-NB02-8,340.318393815814,399.957244856415,0,0,0,0,327.174166694522,399.527654049323,353.462620937105,399.624868749232,353.462620937105,400.386835663507,327.174166694523,400.289620963598,12
1,I-20-NB02-8,340.318393815814,399.136786818642,1,0,0,0,327.174166694523,398.707196011551,353.462620937105,398.804410711459,353.462620937105,399.566377625734,327.174166694522,399.469162925826,12
2,I-20-NB02-9,367.057922306256,401.776868306342,0,0,0,0,353.913695184964,401.34727749925,380.202149427547,401.444492199159,380.202149427547,402.206459113433,353.913695184964,402.109244413525,12
2,I-20-NB02-9,367.057922306256,400.956410268569,1,0,0,0,353.913695184964,400.526819461478,380.202149427547,400.624034161386,380.202149427547,401.386001075661,353.913695184964,401.288786375752,12
3,I-20-NB02-10,367.057922306256,400.135952230796,0,0,0,0,353.913695184964,399.706361423705,380.202149427547,399.803576123613,380.202149427547,400.565543037888,353.913695184964,400.46832833798,12
3,I-20-NB02-10,367.057922306256,399.315494193024,1,0,0,0,353.913695184964,398.885903385932,380.202149427547,398.98311808584,380.202149427547,399.745085000115,353.913695184964,399.647870300207,12
4,I-20-NB02-11,393.797450796698,401.955575680723,0,0,0,0,380.653223675406,401.525984873631,406.941677917989,401.62319957354,406.941677917989,402.385166487815,380.653223675406,402.287951787906,12
4,I-20-NB02-11,393.797450796698,401.13511764295,1,0,0,0,380.653223675406,400.705526835859,406.941677917989,400.802741535767,406.941677917989,401.564708450042,380.653223675406,401.467493750134,12
5,I-20-NB02-12,393.797450796698,400.314659605178,0,0,0,0,380.653223675406,399.885068798086,406.941677917989,399.982283497994,406.941677917989,400.744250412269,380.653223675406,400.647035712361,12
5,I-20-NB02-12,393.797450796698,399.494201567405,1,0,0,0,380.653223675406,399.064610760313,406.941677917989,399.161825460222,406.941677917989,399.923792374497,380.653223675406,399.826577674588,12
6,I-20-NB03-1,340.450907162849,382.830503286697,0,0,0,0,327.306680041558,382.400912479606,353.59513428414,382.498127179514,353.59513428414,383.260094093789,327.306680041558,383.162879393881,12
6,I-20-NB03-1,340.450907162849,382.010045248925,1,0,0,0,327.306680041558,381.580454441833,353.595134284141,381.677669141741,353.595134284141,382.439636056016,327.306680041558,382.342421356108,12
7,I-20-NB03-2,340.450907162849,381.189587211152,0,0,0,0,327.306680041558,380.75999640406,353.595134284141,380.857211103969,353.59513428414,381.619178018243,327.306680041558,381.521963318335,12
7,I-20-NB03-2,340.450907162849,380.369129173379,1,0,0,0,327.306680041558,379.939538366288,353.59513428414,380.036753066196,353.59513428414,380.798719980471,327.306680041558,380.701505280563,12
8,I-20-NB03-3,367.190435653291,383.009210661079,0,0,0,0,354.046208532,382.579619853987,380.334662774582,382.676834553896,380.334662774582,383.43880146817,354.046208532,383.341586768262,12
8,I-20-NB03-3,367.190435653291,382.188752623306,1,0,0,0,354.046208532,381.759161816214,380.334662774582,381.856376516123,380.334662774582,382.618343430398,354.046208532,382.521128730489,12
9,I-20-NB03-4,367.190435653291,381.368294585533,0,0,0,0,354.046208532,380.938703778442,380.334662774582,381.03591847835,380.334662774582,381.797885392625,354.046208532,381.700670692717,12
9,I-20-NB03-4,367.190435653291,380.547836547761,1,0,0,0,354.046208532,380.118245740669,380.334662774582,380.215460440577,380.334662774582,380.977427354852,354.046208532,380.880212654944,12
10,I-20-NB03-5,393.929964143733,383.18791803546,0,0,0,0,380.785737022441,382.758327228369,407.074191265024,382.855541928277,407.074191265024,383.617508842552,380.785737022441,383.520294142644,12
10,I-20-NB03-5,393.929964143733,382.367459997687,1,0,0,0,380.785737022441,381.937869190596,407.074191265024,382.035083890504,407.074191265024,382.797050804779,380.785737022442,382.699836104871,12
11,I-20-NB03-6,393.929964143733,381.547001959915,0,0,0,0,380.785737022442,381.117411152823,407.074191265024,381.214625852731,407.074191265024,381.976592767006,380.785737022442,381.879378067098,12
11,I-20-NB03-6,393.929964143733,380.726543922142,1,0,0,0,380.785737022442,380.29695311505,407.074191265024,380.394167814959,407.074191265024,381.156134729234,380.785737022441,381.058920029325,12
12,I-20-NB03-13,340.589651271901,363.939534159217,0,0,0,0,327.44542415061,363.509943352126,353.733878393192,363.607158052034,353.733878393192,364.369124966309,327.44542415061,364.2719102664,12
12,I-20-NB03-13,340.589651271901,363.119076121445,1,0,0,0,327.44542415061,362.689485314353,353.733878393192,362.786700014261,353.733878393192,363.548666928536,327.44542415061,363.451452228628,12
13,I-20-NB03-14,340.589651271901,362.298618083672,0,0,0,0,327.44542415061,361.86902727658,353.733878393192,361.966241976489,353.733878393192,362.728208890763,327.44542415061,362.630994190855,12
13,I-20-NB03-14,340.589651271901,361.478160045899,1,0,0,0,327.44542415061,361.048569238808,353.733878393192,361.145783938716,353.733878393192,361.907750852991,327.44542415061,361.810536153083,12
14,I-20-NB03-15,367.329179762343,364.118241533599,0,0,0,0,354.184952641051,363.688650726507,380.473406883634,363.785865426415,380.473406883634,364.54783234069,354.184952641051,364.450617640782,12
14,I-20-NB03-15,367.329179762343,363.297783495826,1,0,0,0,354.184952641051,362.868192688734,380.473406883634,362.965407388643,380.473406883634,363.727374302917,354.184952641051,363.630159603009,12
15,I-20-NB03-16,367.329179762343,362.477325458053,0,0,0,0,354.184952641051,362.047734650962,380.473406883634,362.14494935087,380.473406883634,362.906916265145,354.184952641051,362.809701565237,12
15,I-20-NB03-16,367.329179762343,361.65686742028,1,0,0,0,354.184952641051,361.227276613189,380.473406883634,361.324491313097,380.473406883634,362.086458227372,354.184952641051,361.989243527464,12
16,I-20-NB04-5,340.616548095588,345.075446180662,0,0,0,0,327.472320974297,344.64585537357,353.760775216879,344.743070073479,353.760775216879,345.505036987753,327.472320974297,345.407822287845,12
16,I-20-NB04-5,340.616548095588,344.254988142889,1,0,0,0,327.472320974297,343.825397335798,353.760775216879,343.922612035706,353.760775216879,344.684578949981,327.472320974297,344.587364250073,12
17,I-20-NB04-6,340.616548095588,343.434530105116,0,0,0,0,327.472320974297,343.004939298025,353.760775216879,343.102153997933,353.760775216879,343.864120912208,327.472320974297,343.7669062123,12
17,I-20-NB04-6,340.616548095588,342.614072067344,1,0,0,0,327.472320974297,342.184481260252,353.760775216879,342.28169596016,353.760775216879,343.043662874435,327.472320974297,342.946448174527,12
18,I-20-NB04-7,367.391544462769,345.231150495669,0,0,0,0,354.247317341478,344.801559688578,380.53577158406,344.898774388486,380.53577158406,345.660741302761,354.247317341478,345.563526602853,12
18,I-20-NB04-7,367.391544462769,344.410692457897,1,0,0,0,354.247317341478,343.981101650805,380.53577158406,344.078316350713,380.53577158406,344.840283264988,354.247317341478,344.74306856508,12
19,I-20-NB04-8,367.391544462769,343.590234420124,0,0,0,0,354.247317341478,343.160643613032,380.53577158406,343.257858312941,380.53577158406,344.019825227216,354.247317341478,343.922610527307,12
19,I-20-NB04-8,367.391544462769,342.769776382351,1,0,0,0,354.247317341478,342.34018557526,380.53577158406,342.437400275168,380.53577158406,343.199367189443,354.247317341478,343.102152489535,12
20,I-20-NB04-9,394.111443349059,345.345360308361,0,0,0,0,380.967216227768,344.91576950127,407.25567047035,345.012984201178,407.255670470351,345.774951115453,380.967216227768,345.677736415544,12
20,I-20-NB04-9,394.111443349059,344.524902270589,1,0,0,0,380.967216227768,344.095311463497,407.25567047035,344.192526163405,407.25567047035,344.95449307768,380.967216227768,344.857278377772,12
21,I-20-NB04-10,394.111443349059,343.704444232816,0,0,0,0,380.967216227768,343.274853425724,407.25567047035,343.372068125632,407.25567047035,344.134035039907,380.967216227768,344.036820339999,12
21,I-20-NB04-10,394.111443349059,342.883986195043,1,0,0,0,380.967216227768,342.454395387952,407.25567047035,342.55161008786,407.25567047035,343.313577002135,380.967216227768,343.216362302227,12
22,I-20-NB04-17,340.786800513231,326.200568635962,0,0,0,0,327.64257339194,325.77097782887,353.931027634523,325.868192528779,353.931027634523,326.630159443053,327.64257339194,326.532944743145,12
22,I-20-NB04-17,340.786800513231,325.380110598189,1,0,0,0,327.64257339194,324.950519791098,353.931027634523,325.047734491006,353.931027634523,325.809701405281,327.64257339194,325.712486705372,12
23,I-20-NB04-18,340.786800513231,324.559652560417,0,0,0,0,327.64257339194,324.130061753325,353.931027634523,324.227276453233,353.931027634523,324.989243367508,327.64257339194,324.8920286676,12
23,I-20-NB04-18,340.786800513231,323.739194522644,1,0,0,0,327.64257339194,323.309603715552,353.931027634523,323.406818415461,353.931027634523,324.168785329735,327.64257339194,324.071570629827,12
24,I-20-NB02-1,422.215953346199,420.898816809486,0,0,0,0,409.071726224908,420.469226002394,435.360180467491,420.566440702303,435.360180467491,421.328407616577,409.071726224908,421.231192916669,12
24,I-20-NB02-1,422.215953346199,420.078358771713,1,0,0,0,409.071726224908,419.648767964621,435.360180467491,419.74598266453,435.360180467491,420.507949578805,409.071726224908,420.410734878897,12
25,I-20-NB02-2,422.215953346199,419.25790073394,0,0,0,0,409.071726224908,418.828309926849,435.360180467491,418.925524626757,435.360180467491,419.687491541032,409.071726224908,419.590276841124,12
25,I-20-NB02-2,422.215953346199,418.437442696168,1,0,0,0,409.071726224908,418.007851889076,435.360180467491,418.105066588984,435.360180467491,418.867033503259,409.071726224908,418.769818803351,12
26,I-20-NB02-3,448.905479520831,421.01090732392,0,0,0,0,435.76125239954,420.581316516829,462.049706642122,420.678531216737,462.049706642122,421.440498131012,435.76125239954,421.343283431104,12
26,I-20-NB02-3,448.905479520831,420.190449286148,1,0,0,0,435.76125239954,419.760858479056,462.049706642122,419.858073178965,462.049706642122,420.620040093239,435.76125239954,420.522825393331,12
27,I-20-NB02-4,448.905479520831,419.369991248375,0,0,0,0,435.76125239954,418.940400441284,462.049706642122,419.037615141192,462.049706642122,419.799582055467,435.76125239954,419.702367355559,12
27,I-20-NB02-4,448.905479520831,418.549533210603,1,0,0,0,435.76125239954,418.119942403511,462.049706642122,418.217157103419,462.049706642122,418.979124017694,435.76125239954,418.881909317786,12
28,I-20-NB02-5,475.642238116105,421.124411206659,0,0,0,0,462.498010994814,420.694820399568,488.786465237396,420.792035099476,488.786465237396,421.554002013751,462.498010994813,421.456787313842,12
28,I-20-NB02-5,475.642238116105,420.303953168886,1,0,0,0,462.498010994814,419.874362361795,488.786465237396,419.971577061703,488.786465237396,420.733543975978,462.498010994814,420.63632927607,12
29,I-20-NB02-6,475.642238116105,419.483495131114,0,0,0,0,462.498010994814,419.053904324022,488.786465237396,419.15111902393,488.786465237396,419.913085938205,462.498010994814,419.815871238297,12
29,I-20-NB02-6,475.642238116105,418.663037093341,1,0,0,0,462.498010994813,418.233446286249,488.786465237396,418.330660986158,488.786465237396,419.092627900433,462.498010994814,418.995413200524,12
30,I-20-NB02-13,422.22287808412,401.946098420262,0,0,0,0,409.078650962828,401.516507613171,435.367105205411,401.613722313079,435.367105205411,402.375689227354,409.078650962828,402.278474527446,12
30,I-20-NB02-13,422.22287808412,401.12564038249,1,0,0,0,409.078650962828,400.696049575398,435.367105205411,400.793264275306,435.367105205411,401.555231189581,409.078650962828,401.458016489673,12
31,I-20-NB02-14,422.22287808412,400.305182344717,0,0,0,0,409.078650962828,399.875591537625,435.367105205411,399.972806237534,435.367105205411,400.734773151808,409.078650962828,400.6375584519,12
31,I-20-NB02-14,422.22287808412,399.484724306944,1,0,0,0,409.078650962828,399.055133499853,435.367105205411,399.152348199761,435.367105205411,399.914315114036,409.078650962828,399.817100414128,12
32,I-20-NB02-15,448.962406574561,402.124805794644,0,0,0,0,435.81817945327,401.695214987552,462.106633695853,401.79242968746,462.106633695853,402.554396601735,435.81817945327,402.457181901827,12
32,I-20-NB02-15,448.962406574561,401.304347756871,1,0,0,0,435.81817945327,400.874756949779,462.106633695853,400.971971649688,462.106633695853,401.733938563963,435.81817945327,401.636723864054,12
33,I-20-NB02-16,448.962406574562,400.483889719098,0,0,0,0,435.81817945327,400.054298912007,462.106633695853,400.151513611915,462.106633695853,400.91348052619,435.81817945327,400.816265826282,12
