string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules,module_layout,dist_btw_v0_v1,dist_btw_v1_v2,num_module_along_x,num_module_along_y
0,1-7-NB02-1,4272.57493171066,2466.64378477219,0,0,0,0,4285.01714963832,2467.00895075981,4260.132713783,2467.00895075981,4260.132713783,2466.27861878458,4285.01714963832,2466.27861878457,11,L,24.884,0.73,11,1
0,1-7-NB02-1,4272.57493171066,2465.86531807498,1,0,0,0,4285.01714963832,2466.23048406259,4260.132713783,2466.23048406259,4260.132713783,2465.50015208736,4285.01714963832,2465.50015208736,11,L,24.884,0.73,11,1
1,1-7-NB02-2,4272.57493171066,2465.08685137776,0,0,0,0,4285.01714963832,2465.45201736538,4260.132713783,2465.45201736538,4260.132713783,2464.72168539014,4285.01714963832,2464.72168539014,11,L,24.884,0.73,11,1
1,1-7-NB02-2,4272.57493171066,2464.30838468054,1,0,0,0,4285.01714963832,2464.67355066816,4260.132713783,2464.67355066816,4260.132713783,2463.94321869293,4285.01714963832,2463.94321869293,11,L,24.884,0.73,11,1
2,1-7-NB02-9,4221.99130973467,2450.31524437593,0,0,0,0,4234.43352766232,2450.68041036354,4209.54909180701,2450.68041036354,4209.54909180701,2449.95007838831,4234.43352766232,2449.95007838831,11,L,24.884,0.73,11,1
2,1-7-NB02-9,4221.99130973467,2449.53677767871,1,0,0,0,4234.43352766232,2449.90194366633,4209.54909180701,2449.90194366633,4209.54909180701,2449.17161169109,4234.43352766232,2449.17161169109,11,L,24.884,0.73,11,1
3,1-7-NB02-10,4221.99130973467,2448.7583109815,0,0,0,0,4234.43352766232,2449.12347696911,4209.54909180701,2449.12347696911,4209.54909180701,2448.39314499388,4234.43352766232,2448.39314499388,11,L,24.884,0.73,11,1
3,1-7-NB02-10,4221.99130973467,2447.97984428428,1,0,0,0,4234.43352766233,2448.3450102719,4209.54909180701,2448.3450102719,4209.54909180701,2447.61467829666,4234.43352766232,2447.61467829666,11,L,24.884,0.73,11,1
4,1-7-NB02-11,4247.24565896025,2450.2520288183,0,0,0,0,4259.68787688791,2450.61719480592,4234.80344103259,2450.61719480592,4234.80344103259,2449.88686283069,4259.68787688791,2449.88686283069,11,L,24.884,0.73,11,1
4,1-7-NB02-11,4247.24565896025,2449.47356212109,1,0,0,0,4259.6878768879,2449.8387281087,4234.80344103259,2449.8387281087,4234.80344103259,2449.10839613347,4259.6878768879,2449.10839613347,11,L,24.884,0.73,11,1
5,1-7-NB02-12,4247.24565896025,2448.69509542387,0,0,0,0,4259.6878768879,2449.06026141149,4234.80344103259,2449.06026141149,4234.80344103259,2448.32992943626,4259.6878768879,2448.32992943626,11,L,24.884,0.73,11,1
5,1-7-NB02-12,4247.24565896025,2447.91662872666,1,0,0,0,4259.6878768879,2448.28179471427,4234.80344103259,2448.28179471427,4234.80344103259,2447.55146273904,4259.6878768879,2447.55146273904,11,L,24.884,0.73,11,1
6,1-7-NB02-13,4272.50000818583,2450.18881326068,0,0,0,0,4284.94222611349,2450.5539792483,4260.05779025817,2450.5539792483,4260.05779025817,2449.82364727306,4284.94222611349,2449.82364727306,11,L,24.884,0.73,11,1
6,1-7-NB02-13,4272.50000818583,2449.41034656346,1,0,0,0,4284.94222611349,2449.77551255108,4260.05779025817,2449.77551255108,4260.05779025817,2449.04518057585,4284.94222611349,2449.04518057585,11,L,24.884,0.73,11,1
7,1-7-NB02-14,4272.50000818583,2448.63187986625,0,0,0,0,4284.94222611349,2448.99704585387,4260.05779025817,2448.99704585387,4260.05779025817,2448.26671387863,4284.94222611349,2448.26671387863,11,L,24.884,0.73,11,1
7,1-7-NB02-14,4272.50000818583,2447.85341316903,1,0,0,0,4284.94222611349,2448.21857915665,4260.05779025817,2448.21857915665,4260.05779025817,2447.48824718142,4284.94222611349,2447.48824718142,11,L,24.884,0.73,11,1
8,1-7-NB03-5,4221.91638620983,2433.86027286441,0,0,0,0,4234.35860413749,2434.22543885203,4209.47416828218,2434.22543885203,4209.47416828218,2433.4951068768,4234.35860413749,2433.4951068768,11,L,24.884,0.73,11,1
8,1-7-NB03-5,4221.91638620983,2433.0818061672,1,0,0,0,4234.35860413749,2433.44697215482,4209.47416828218,2433.44697215481,4209.47416828218,2432.71664017958,4234.35860413749,2432.71664017958,11,L,24.884,0.73,11,1
