string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules
0,I-22-NB01-1,-177.166092454603,436.394782196926,0,0,0,0,-164.599711401429,436.766413126004,-189.732473507777,436.766413126004,-189.732473507777,436.023151267848,-164.599711401429,436.023151267849,12
0,I-22-NB01-1,-177.166092454603,435.632761647252,1,0,0,0,-164.599711401429,436.004392576329,-189.732473507777,436.004392576329,-189.732473507777,435.261130718174,-164.599711401429,435.261130718175,12
1,I-22-NB01-2,-177.166092454603,434.870741097577,0,0,0,0,-164.599711401429,435.242372026655,-189.732473507777,435.242372026655,-189.732473507777,434.499110168499,-164.599711401429,434.4991101685,12
1,I-22-NB01-2,-177.166092454603,434.108720547903,1,0,0,0,-164.599711401429,434.48035147698,-189.732473507777,434.48035147698,-189.732473507777,433.737089618825,-164.599711401429,433.737089618826,12
2,I-22-NB01-3,-151.479607943089,436.394782196926,0,0,0,0,-138.913226889915,436.766413126004,-164.045988996263,436.766413126004,-164.045988996263,436.023151267849,-138.913226889915,436.023151267849,12
2,I-22-NB01-3,-151.479607943089,435.632761647252,1,0,0,0,-138.913226889915,436.004392576329,-164.045988996263,436.004392576329,-164.045988996263,435.261130718174,-138.913226889915,435.261130718175,12
3,I-22-NB01-4,-151.479607943089,434.870741097577,0,0,0,0,-138.913226889915,435.242372026655,-164.045988996263,435.242372026655,-164.045988996263,434.499110168499,-138.913226889915,434.4991101685,12
3,I-22-NB01-4,-151.479607943089,434.108720547903,1,0,0,0,-138.913226889915,434.48035147698,-164.045988996263,434.48035147698,-164.045988996263,433.737089618825,-138.913226889915,433.737089618826,12
4,I-22-NB01-5,-125.773948619622,436.599681821167,0,0,0,0,-113.207567566448,436.971312750245,-138.340329672796,436.971312750245,-138.340329672796,436.228050892089,-113.207567566448,436.22805089209,12
4,I-22-NB01-5,-125.773948619622,435.837661271492,1,0,0,0,-113.207567566448,436.20929220057,-138.340329672796,436.20929220057,-138.340329672796,435.466030342415,-113.207567566448,435.466030342415,12
5,I-22-NB01-6,-125.773948619622,435.075640721818,0,0,0,0,-113.207567566448,435.447271650895,-138.340329672796,435.447271650895,-138.340329672796,434.70400979274,-113.207567566448,434.704009792741,12
