string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules
0,1-8-NB04-5,4376.5639828483,2398.40931773291,0,0,0,0,4388.78950955784,2397.94107746566,4388.78950955784,2398.88123395113,4364.33845613875,2398.88123395114,4364.33845613875,2397.93372556372,10
0,1-8-NB04-5,4376.5639828483,2399.40272152973,1,0,0,0,4388.78950955784,2398.93448126248,4388.78950955784,2399.87463774795,4364.33845613875,2399.87463774796,4364.33845613875,2398.92712936054,10
0,1-8-NB04-5,4376.5639828483,2400.39612532655,2,0,0,0,4388.78950955784,2399.9278850593,4388.78950955784,2400.86804154477,4364.33845613875,2400.86804154478,4364.33845613875,2399.92053315736,10
1,1-8-NB04-6,4401.70449360763,2398.27456530627,0,0,0,0,4413.93002031717,2397.80632503902,4413.93002031717,2398.74648152449,4389.47896689808,2398.74648152449,4389.47896689808,2397.79897313708,10
1,1-8-NB04-6,4401.70449360763,2399.26796910309,1,0,0,0,4413.93002031717,2398.79972883584,4413.93002031717,2399.73988532131,4389.47896689808,2399.73988532131,4389.47896689808,2398.7923769339,10
1,1-8-NB04-6,4401.70449360763,2400.26137289991,2,0,0,0,4413.93002031717,2399.79313263266,4413.93002031717,2400.73328911813,4389.47896689808,2400.73328911813,4389.47896689808,2399.78578073072,10
2,1-8-NB04-7,4426.68550825193,2398.20561433181,0,0,0,0,4438.91103496147,2397.73737406456,4438.91103496147,2398.67753055003,4414.45998154238,2398.67753055003,4414.45998154238,2397.73002216262,10
2,1-8-NB04-7,4426.68550825193,2399.19901812863,1,0,0,0,4438.91103496147,2398.73077786138,4438.91103496147,2399.67093434685,4414.45998154238,2399.67093434685,4414.45998154238,2398.72342595944,10
2,1-8-NB04-7,4426.68550825193,2400.19242192545,2,0,0,0,4438.91103496147,2399.7241816582,4438.91103496147,2400.66433814367,4414.45998154238,2400.66433814367,4414.45998154238,2399.71682975626,10
3,1-8-NB03-8,4376.63668635102,2414.85758331009,0,0,0,0,4388.86221306056,2414.38934304284,4388.86221306056,2415.32949952831,4364.41115964147,2415.32949952832,4364.41115964147,2414.3819911409,10
3,1-8-NB03-8,4376.63668635102,2415.85098710691,1,0,0,0,4388.86221306056,2415.38274683966,4388.86221306056,2416.32290332514,4364.41115964147,2416.32290332514,4364.41115964147,2415.37539493772,10
3,1-8-NB03-8,4376.63668635102,2416.84439090373,2,0,0,0,4388.86221306056,2416.37615063648,4388.86221306056,2417.31630712196,4364.41115964147,2417.31630712196,4364.41115964147,2416.36879873454,10
4,1-8-NB04-1,4401.67978154708,2414.75009134284,0,0,0,0,4413.90530825663,2414.28185107558,4413.90530825663,2415.22200756106,4389.45425483754,2415.22200756106,4389.45425483754,2414.27449917364,10
4,1-8-NB04-1,4401.67978154708,2415.74349513966,1,0,0,0,4413.90530825663,2415.2752548724,4413.90530825663,2416.21541135788,4389.45425483754,2416.21541135788,4389.45425483754,2415.26790297046,10
4,1-8-NB04-1,4401.67978154709,2416.73689893648,2,0,0,0,4413.90530825663,2416.26865866922,4413.90530825663,2417.2088151547,4389.45425483754,2417.2088151547,4389.45425483754,2416.26130676728,10
5,1-8-NB03-3,4376.70907955001,2431.23453162263,0,0,0,0,4388.93460625955,2430.76629135538,4388.93460625955,2431.70644784086,4364.48355284046,2431.70644784086,4364.48355284046,2430.75893945344,10
5,1-8-NB03-3,4376.70907955001,2432.22793541945,1,0,0,0,4388.93460625955,2431.7596951522,4388.93460625955,2432.69985163768,4364.48355284046,2432.69985163768,4364.48355284046,2431.75234325026,10
5,1-8-NB03-3,4376.70907955001,2433.22133921627,2,0,0,0,4388.93460625955,2432.75309894902,4388.93460625955,2433.6932554345,4364.48355284046,2433.6932554345,4364.48355284046,2432.74574704708,10
6,1-8-NB03-4,4401.77819404359,2431.20109823234,0,0,0,0,4414.00372075313,2430.73285796509,4414.00372075313,2431.67301445057,4389.55266733405,2431.67301445057,4389.55266733405,2430.72550606315,10
6,1-8-NB03-4,4401.77819404359,2432.19450202916,1,0,0,0,4414.00372075313,2431.72626176191,4414.00372075313,2432.66641824739,4389.55266733404,2432.66641824739,4389.55266733404,2431.71890985997,10
6,1-8-NB03-4,4401.77819404359,2433.18790582598,2,0,0,0,4414.00372075313,2432.71966555873,4414.00372075313,2433.65982204421,4389.55266733404,2433.65982204421,4389.55266733404,2432.71231365679,10
7,1-8-NB03-5,4426.9243100766,2431.10234129419,0,0,0,0,4439.14983678614,2430.63410102694,4439.14983678614,2431.57425751242,4414.69878336706,2431.57425751242,4414.69878336706,2430.626749125,10
7,1-8-NB03-5,4426.9243100766,2432.09574509102,1,0,0,0,4439.14983678614,2431.62750482376,4439.14983678614,2432.56766130924,4414.69878336706,2432.56766130924,4414.69878336706,2431.62015292182,10
7,1-8-NB03-5,4426.9243100766,2433.08914888784,2,0,0,0,4439.14983678614,2432.62090862058,4439.14983678614,2433.56106510606,4414.69878336706,2433.56106510606,4414.69878336706,2432.61355671864,10
