string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules,module_orientation,num_module_along_x,num_module_along_y
0,20-9,5228.16191073181,724.563534360941,0,0,0,0,5217.39347960199,723.963534360941,5238.93034186162,723.96353436094,5238.93034186162,725.163534360941,5217.39347960199,725.163534360941,362,L,10,1
0,20-9,5228.16191073181,725.867048306103,1,0,0,0,5217.39347960199,725.267048306102,5238.93034186162,725.267048306102,5238.93034186162,726.467048306103,5217.39347960199,726.467048306103,361,L,10,1
1,21-3,5206.64330928727,724.563534360941,0,0,0,0,5195.87487815746,723.963534360941,5217.41174041709,723.963534360941,5217.41174041709,725.163534360941,5195.87487815746,725.163534360941,360,L,10,1
1,21-3,5206.64330928727,725.867048306103,1,0,0,0,5195.87487815746,725.267048306102,5217.41174041709,725.267048306103,5217.41174041709,726.467048306103,5195.87487815746,726.467048306103,359,L,10,1
2,20-8,5228.1619107318,727.170562251265,0,0,0,0,5217.39347960199,726.570562251265,5238.93034186162,726.570562251265,5238.93034186162,727.770562251265,5217.39347960199,727.770562251265,358,L,10,1
2,20-8,5228.1619107318,728.474076196427,1,0,0,0,5217.39347960199,727.874076196427,5238.93034186162,727.874076196427,5238.93034186162,729.074076196427,5217.39347960199,729.074076196428,357,L,10,1
3,20-7,5228.16191073181,729.777590141589,0,0,0,0,5217.39347960199,729.177590141589,5238.93034186162,729.177590141588,5238.93034186162,730.377590141589,5217.39347960199,730.37759014159,356,L,10,1
3,20-7,5228.16191073181,731.081104086751,1,0,0,0,5217.39347960199,730.481104086751,5238.93034186162,730.481104086751,5238.93034186162,731.681104086751,5217.39347960199,731.681104086751,355,L,10,1
4,21-2,5206.64330928727,727.170562251265,0,0,0,0,5195.87487815746,726.570562251264,5217.41174041709,726.570562251264,5217.41174041709,727.770562251265,5195.87487815746,727.770562251265,354,L,10,1
4,21-2,5206.64330928727,728.474076196427,1,0,0,0,5195.87487815746,727.874076196426,5217.41174041709,727.874076196426,5217.41174041709,729.074076196427,5195.87487815746,729.074076196427,353,L,10,1
5,21-1,5206.64330928727,729.777590141589,0,0,0,0,5195.87487815746,729.177590141589,5217.41174041709,729.177590141589,5217.41174041709,730.377590141589,5195.87487815746,730.377590141589,352,L,10,1
5,21-1,5206.64330928727,731.081104086751,1,0,0,0,5195.87487815746,730.481104086751,5217.41174041709,730.481104086752,5217.41174041709,731.681104086751,5195.87487815746,731.681104086751,351,L,10,1
6,22-4,5190.50435820387,724.56353436094,0,0,0,0,5185.11557743519,723.96353436094,5195.89313897255,723.963534360941,5195.89313897255,725.163534360941,5185.11557743519,725.163534360941,350,L,5,1
6,22-4,5190.50435820387,725.867048306103,1,0,0,0,5185.11557743519,725.267048306103,5195.89313897255,725.267048306103,5195.89313897255,726.467048306103,5185.11557743519,726.467048306103,349,L,5,1
6,22-4,5190.50435820387,727.170562251265,2,0,0,0,5185.11557743519,726.570562251264,5195.89313897255,726.570562251265,5195.89313897255,727.770562251265,5185.11557743519,727.770562251264,348,L,5,1
6,22-4,5190.50435820387,728.474076196427,3,0,0,0,5185.11557743519,727.874076196427,5195.89313897255,727.874076196427,5195.89313897255,729.074076196427,5185.11557743519,729.074076196426,347,L,5,1
7,22-6,5188.35249805942,729.777590141589,0,0,0,0,5180.81185714629,730.377590141589,5180.81185714628,729.177590141589,5195.89313897255,729.177590141589,5195.89313897255,730.377590141589,346,L,1,7
7,22-6,5188.35249805942,731.081104086751,1,0,0,0,5180.81185714629,731.681104086751,5180.81185714628,730.481104086751,5195.89313897255,730.481104086751,5195.89313897255,731.681104086751,345,L,1,7
8,20-6,5228.1619107318,732.745842639948,0,0,0,0,5217.39347960199,732.145842639948,5238.93034186162,732.145842639948,5238.93034186162,733.345842639948,5217.39347960199,733.345842639948,344,L,10,1
8,20-6,5228.16191073181,734.04935658511,1,0,0,0,5217.39347960199,733.44935658511,5238.93034186162,733.449356585109,5238.93034186162,734.64935658511,5217.39347960199,734.64935658511,343,L,10,1
9,20-3,5206.64330928727,732.745842639948,0,0,0,0,5195.87487815746,732.145842639948,5217.41174041709,732.145842639948,5217.41174041709,733.345842639947,5195.87487815746,733.345842639948,342,L,10,1
9,20-3,5206.64330928727,734.04935658511,1,0,0,0,5195.87487815746,733.44935658511,5217.41174041709,733.44935658511,5217.41174041709,734.64935658511,5195.87487815746,734.64935658511,341,L,10,1
